time,ENV.temperature,ENV.pressure,CONC.SOA1,CONC.SOA2,CONC.M,CONC.O3,CONC.a-pinene
0,298.15,101325.0,0,0,0,2e-05,8e-08
1.0,298.15,101325.0,1.517836400148194e-11,7.439628335255744e-12,0.0,1.9999915253356962e-05,7.991525335696107e-08
2.0,298.15,101325.0,3.018955763504112e-11,1.4508508988419254e-11,0.0,1.999983059684718e-05,7.983059684718025e-08
3.0,298.15,101325.0,4.503526157874183e-11,2.1224732030588335e-11,0.0,1.999974603037404e-05,7.974603037403646e-08
4.0,298.15,101325.0,5.971713976878366e-11,2.7605505259900696e-11,0.0,1.9999661553841028e-05,7.966155384101385e-08
5.0,298.15,101325.0,7.423683956610685e-11,3.3667197230531045e-11,0.0,1.999957716715171e-05,7.957716715170165e-08
6.0,298.15,101325.0,8.859599192134016e-11,3.942537818313793e-11,0.0,1.999949287020981e-05,7.9492870209794e-08
7.0,298.15,101325.0,1.0279621153810702e-10,4.489485897910788e-11,0.0,1.999940866291911e-05,7.940866291908981e-08
8.0,298.15,101325.0,1.1683909703470705e-10,5.00897281359528e-11,0.0,1.9999324545183523e-05,7.932454518349286e-08
9.0,298.15,101325.0,1.3072623110418893e-10,5.5023387056468704e-11,0.0,1.9999240516907043e-05,7.924051690701142e-08
10.0,298.15,101325.0,1.4445918067283003e-10,5.970858353974687e-11,0.0,1.999915657799379e-05,7.915657799375822e-08
11.0,298.15,101325.0,1.5803949705703945e-10,6.415744365783286e-11,0.0,1.9999072728347975e-05,7.90727283479504e-08
12.0,298.15,101325.0,1.7146871611869984e-10,6.838150207774136e-11,0.0,1.9998988967873937e-05,7.898896787390931e-08
13.0,298.15,101325.0,1.8474835841896324e-10,7.239173090464804e-11,0.0,1.9998905296476083e-05,7.890529647606047e-08
14.0,298.15,101325.0,1.9787992937051697e-10,7.619856711838162e-11,0.0,1.9998821714058952e-05,7.882171405893337e-08
15.0,298.15,101325.0,2.1086491938833412e-10,7.98119386718213e-11,0.0,1.9998738220527182e-05,7.87382205271614e-08
16.0,298.15,101325.0,2.2370480403892427e-10,8.324128931645979e-11,0.0,1.9998654815785505e-05,7.865481578548177e-08
17.0,298.15,101325.0,2.364010441880989e-10,8.649560221720846e-11,0.0,1.9998571499738752e-05,7.857149973873524e-08
18.0,298.15,101325.0,2.4895508614726654e-10,8.958342241549397e-11,0.0,1.999848827229189e-05,7.848827229186622e-08
19.0,298.15,101325.0,2.613683618182723e-10,9.251287819681638e-11,0.0,1.9998405133349947e-05,7.840513334992257e-08
20.0,298.15,101325.0,2.7364228883679625e-10,9.529170141619831e-11,0.0,1.9998322082818082e-05,7.832208281805534e-08
21.0,298.15,101325.0,2.857782707143246e-10,9.792724683234955e-11,0.0,1.999823912060154e-05,7.823912060151889e-08
22.0,298.15,101325.0,2.9777769697870893e-10,1.0042651049889297e-10,0.0,1.999815624660569e-05,7.815624660567061e-08
23.0,298.15,101325.0,3.09641943313326e-10,1.0279614725863888e-10,0.0,1.9998073460735993e-05,7.807346073597081e-08
24.0,298.15,101325.0,3.213723716948533e-10,1.0504248738465335e-10,0.0,1.9997990762898008e-05,7.799076289798274e-08
25.0,298.15,101325.0,3.329703305296735e-10,1.0717155240973122e-10,0.0,1.99979081529974e-05,7.790815299737237e-08
26.0,298.15,101325.0,3.444371547889221e-10,1.0918907018385637e-10,0.0,1.999782563093993e-05,7.782563093990826e-08
27.0,298.15,101325.0,3.557741661421906e-10,1.1110048919730031e-10,0.0,1.999774319663148e-05,7.774319663146151e-08
28.0,298.15,101325.0,3.6698267308989943e-10,1.1291099220517478e-10,0.0,1.9997660849978017e-05,7.766084997800553e-08
29.0,298.15,101325.0,3.7806397109435467e-10,1.1462550918750645e-10,0.0,1.9997578590885633e-05,7.757859088561611e-08
30.0,298.15,101325.0,3.8901934270949945e-10,1.1624872967724104e-10,0.0,1.9997496419260487e-05,7.749641926047112e-08
31.0,298.15,101325.0,3.9985005770937453e-10,1.177851144870032e-10,0.0,1.9997414335008864e-05,7.741433500885056e-08
32.0,298.15,101325.0,4.1055737321530155e-10,1.1923890686393503e-10,0.0,1.9997332338037154e-05,7.733233803713628e-08
33.0,298.15,101325.0,4.211425338217995e-10,1.2061414310050646e-10,0.0,1.9997250428251834e-05,7.725042825181203e-08
34.0,298.15,101325.0,4.316067717212495e-10,1.219146626278303e-10,0.0,1.999716860555948e-05,7.716860555946317e-08
35.0,298.15,101325.0,4.41951306827318e-10,1.2314411761671947e-10,0.0,1.999708686986679e-05,7.708686986677671e-08
36.0,298.15,101325.0,4.5217734689715253e-10,1.2430598211049549e-10,0.0,1.9997005221080555e-05,7.700522108054116e-08
37.0,298.15,101325.0,4.622860876523618e-10,1.2540356071238406e-10,0.0,1.9996923659107657e-05,7.692365910764639e-08
38.0,298.15,101325.0,4.72278712898791e-10,1.2643999684922097e-10,0.0,1.9996842183855094e-05,7.684218385508344e-08
39.0,298.15,101325.0,4.821563946451061e-10,1.2741828063213272e-10,0.0,1.9996760795229956e-05,7.67607952299446e-08
40.0,298.15,101325.0,4.919202932201981e-10,1.2834125633384572e-10,0.0,1.9996679493139428e-05,7.667949313942306e-08
41.0,298.15,101325.0,5.015715573894197e-10,1.2921162950132407e-10,0.0,1.999659827749082e-05,7.65982774908131e-08
42.0,298.15,101325.0,5.111113244696635e-10,1.300319737215184e-10,0.0,1.9996517148191515e-05,7.65171481915096e-08
43.0,298.15,101325.0,5.20540720443297e-10,1.3080473705714587e-10,0.0,1.9996436105149012e-05,7.643610514900826e-08
44.0,298.15,101325.0,5.298608600709614e-10,1.3153224816859276e-10,0.0,1.9996355148270902e-05,7.63551482709053e-08
45.0,298.15,101325.0,5.390728470032531e-10,1.3221672213724867e-10,0.0,1.999627427746489e-05,7.627427746489739e-08
46.0,298.15,101325.0,5.481777738912884e-10,1.3286026600483237e-10,0.0,1.999619349263877e-05,7.619349263878156e-08
47.0,298.15,101325.0,5.571767224961698e-10,1.3346488404256232e-10,0.0,1.9996112793700442e-05,7.611279370045517e-08
48.0,298.15,101325.0,5.66070763797365e-10,1.3403248276334574e-10,0.0,1.9996032180557907e-05,7.603218055791557e-08
49.0,298.15,101325.0,5.748609581000057e-10,1.345648756895207e-10,0.0,1.9995951653119254e-05,7.59516531192602e-08
50.0,298.15,101325.0,5.835483551411179e-10,1.3506378788807226e-10,0.0,1.9995871211292677e-05,7.587121129268632e-08
51.0,298.15,101325.0,5.92133994194798e-10,1.355308602846634e-10,0.0,1.999579085498648e-05,7.57908549864911e-08
52.0,298.15,101325.0,6.006189041763391e-10,1.3596765376726813e-10,0.0,1.999571058410906e-05,7.571058410907125e-08
53.0,298.15,101325.0,6.090041037453229e-10,1.3637565308966764e-10,0.0,1.9995630398568908e-05,7.563039856892316e-08
54.0,298.15,101325.0,6.172906014076873e-10,1.3675627058457103e-10,0.0,1.999555029827462e-05,7.555029827464262e-08
55.0,298.15,101325.0,6.254793956167755e-10,1.3711084969564452e-10,0.0,1.99954702831349e-05,7.547028313492479e-08
56.0,298.15,101325.0,6.335714748733805e-10,1.3744066833728162e-10,0.0,1.999539035305854e-05,7.5390353058564e-08
57.0,298.15,101325.0,6.415678178247957e-10,1.3774694209051514e-10,0.0,1.999531050795443e-05,7.53105079544538e-08
58.0,298.15,101325.0,6.494693933628779e-10,1.3803082724306258e-10,0.0,1.9995230747731568e-05,7.523074773158669e-08
59.0,298.15,101325.0,6.57277160721135e-10,1.3829342368110684e-10,0.0,1.9995151072299036e-05,7.515107229905407e-08
60.0,298.15,101325.0,6.649920695708486e-10,1.3853577764004292e-10,0.0,1.9995071481566025e-05,7.507148156604617e-08
61.0,298.15,101325.0,6.726150601162397e-10,1.3875888432106927e-10,0.0,1.999499197544184e-05,7.499197544185188e-08
62.0,298.15,101325.0,6.801470631886865e-10,1.389636903801656e-10,0.0,1.999491255383585e-05,7.491255383585865e-08
63.0,298.15,101325.0,6.875890003400053e-10,1.391510962956828e-10,0.0,1.999483321665754e-05,7.483321665755233e-08
64.0,298.15,101325.0,6.949417839348058e-10,1.393219586204632e-10,0.0,1.9994753963816502e-05,7.475396381651723e-08
65.0,298.15,101325.0,7.022063172419219e-10,1.3947709212412418e-10,0.0,1.9994674795222435e-05,7.467479522243584e-08
66.0,298.15,101325.0,7.093834945249367e-10,1.3961727183086062e-10,0.0,1.9994595710785092e-05,7.459571078508879e-08
67.0,298.15,101325.0,7.16474201131807e-10,1.397432349578632e-10,0.0,1.9994516710414356e-05,7.451671041435467e-08
68.0,298.15,101325.0,7.234793135835937e-10,1.398556827591982e-10,0.0,1.9994437794020202e-05,7.443779402021014e-08
69.0,298.15,101325.0,7.303996996623114e-10,1.3995528227976091e-10,0.0,1.9994358961512718e-05,7.435896151272956e-08
70.0,298.15,101325.0,7.372362184979021e-10,1.4004266802368658e-10,0.0,1.9994280212802077e-05,7.428021280208485e-08
71.0,298.15,101325.0,7.439897206543448e-10,1.4011844354139309e-10,0.0,1.999420154779854e-05,7.420154779854575e-08
72.0,298.15,101325.0,7.50661048214907e-10,1.4018318293922183e-10,0.0,1.9994122966412476e-05,7.412296641247939e-08
73.0,298.15,101325.0,7.572510348665504e-10,1.4023743231545286e-10,0.0,1.9994044468554353e-05,7.404446855435016e-08
74.0,298.15,101325.0,7.637605059834927e-10,1.402817111262844e-10,0.0,1.9993966054134715e-05,7.396605413471986e-08
75.0,298.15,101325.0,7.70190278709942e-10,1.4031651348519288e-10,0.0,1.9993887723064237e-05,7.388772306424732e-08
76.0,298.15,101325.0,7.765411620420055e-10,1.403423093989224e-10,0.0,1.9993809475253676e-05,7.38094752536885e-08
77.0,298.15,101325.0,7.828139569087842e-10,1.4035954594319425e-10,0.0,1.999373131061388e-05,7.373131061389622e-08
78.0,298.15,101325.0,7.890094562526595e-10,1.40368648381076e-10,0.0,1.999365322905581e-05,7.365322905582013e-08
79.0,298.15,101325.0,7.951284451087831e-10,1.4037002122680756e-10,0.0,1.9993575230490492e-05,7.357523049050666e-08
80.0,298.15,101325.0,8.01171700683773e-10,1.4036404925774364e-10,0.0,1.999349731482908e-05,7.349731482909877e-08
81.0,298.15,101325.0,8.071399924336292e-10,1.403510984769429e-10,0.0,1.9993419481982817e-05,7.341948198283595e-08
82.0,298.15,101325.0,8.130340821408728e-10,1.4033151702881097e-10,0.0,1.999334173186304e-05,7.334173186305412e-08
83.0,298.15,101325.0,8.188547239909171e-10,1.403056360700878e-10,0.0,1.9993264064381177e-05,7.326406438118548e-08
84.0,298.15,101325.0,8.246026646476799e-10,1.4027377059835515e-10,0.0,1.9993186479448755e-05,7.318647944875828e-08
85.0,298.15,101325.0,8.302786433284426e-10,1.402362202401386e-10,0.0,1.9993108976977395e-05,7.310897697739702e-08
86.0,298.15,101325.0,8.358833918779641e-10,1.401932700005722e-10,0.0,1.9993031556878824e-05,7.3031556878822e-08
87.0,298.15,101325.0,8.414176348418584e-10,1.401451909765022e-10,0.0,1.999295421906486e-05,7.295421906484954e-08
88.0,298.15,101325.0,8.468820895392416e-10,1.4009224103481205e-10,0.0,1.9992876963447398e-05,7.287696344739155e-08
89.0,298.15,101325.0,8.522774661346562e-10,1.4003466545766505e-10,0.0,1.9992799789938458e-05,7.279978993845564e-08
90.0,298.15,101325.0,8.576044677092784e-10,1.3997269755627817e-10,0.0,1.9992722698450144e-05,7.272269845014502e-08
