time,ENV.temperature,ENV.pressure,CONC.irr__17773fe3-c1f6-4015-87e2-f20278517a59,CONC.irr__427192a6-365c-4d22-9174-8ad91126afab,CONC.irr__f6bf24e9-1b52-497b-b50c-74eaccc28120,CONC.H2O,CONC.Ar,CONC.CO2,CONC.N2,CONC.irr__d41171b4-5f9b-4c24-9f0c-4a5bc0041ebc,CONC.O1D,CONC.M,CONC.O2,CONC.O3,CONC.irr__071b97cd-d37e-41e1-9ff1-308e3179f910,CONC.irr__93f71f99-b360-451d-b698-cc7f7cfe061b,CONC.irr__1fce6ca9-960d-4ef9-9435-b5e4ef3f1534,CONC.O
0,206.6374207,6152.049805,0,0,0,1.19e-05,0.0334,0.00146,0,0,0,0,0.75,8.1e-06,0,0,0,0
200.0,206.6374207,6152.049805,1.0350000000747388e-16,1.9099676575452415e-12,9.914335932295913e-11,1.19e-05,0.0334,0.00146,0.0,0.0,1.636836748762756e-21,0.0,0.7500000001117836,8.099893581478221e-06,5.365194797660053e-12,1.9100024167387795e-12,0.0,9.568833918120747e-11
400.0,206.6374207,6152.049805,1.0800000000902254e-16,2.0995047522442876e-12,1.0789121643477587e-10,1.19e-05,0.0334,0.00146,0.0,0.0,8.996338163467828e-22,0.0,0.7500000001325324,8.099878738286575e-06,1.1270992242137178e-11,2.09952648073264e-12,0.0,9.871994494398336e-11
600.0,206.6374207,6152.049805,5.4270000002369114e-17,1.0983558318185396e-12,5.637578605794274e-11,1.19e-05,0.0334,0.00146,0.0,0.0,4.706451292271403e-22,0.0,0.7500000000692533,8.099936636337263e-06,5.889520850419474e-12,1.0983617713853187e-12,0.0,5.158472957887116e-11
800.0,206.6374207,6152.049805,4.905000000023752e-18,1.1906994839661195e-13,6.658197114422794e-12,1.19e-05,0.0334,0.00146,0.0,0.0,1.0204323636572058e-22,0.0,0.7500000000074968,8.0999928629076e-06,3.5982533731195073e-13,1.190700936292217e-13,0.0,6.417451535405409e-12
1000.0,206.6374207,6152.049805,3.600000000016716e-18,9.681116092097861e-14,6.0166775712937514e-12,1.19e-05,0.0334,0.00146,0.0,0.0,4.148370138913365e-23,0.0,0.7500000000073662,8.099993260045059e-06,6.264661992007119e-13,9.681121657077526e-14,0.0,5.4870297329725345e-12
1200.0,206.6374207,6152.049805,1.2420000000024178e-18,3.6061193896739754e-14,2.527199572278259e-12,1.19e-05,0.0334,0.00146,0.0,0.0,1.5452269731263017e-23,0.0,0.7500000000030885,8.099997174074771e-06,2.626644645648628e-13,3.606120257900855e-14,0.0,2.300598785594683e-12
1400.0,206.6374207,6152.049805,1.0485000000001258e-19,1.8419399802054613e-15,1.6621199821379099e-13,1.19e-05,0.0334,0.00146,0.0,0.0,1.5785477475466459e-24,0.0,0.750000000000186,8.099999823023576e-06,8.922487044014081e-15,1.841940034375839e-15,0.0,1.5913166084840383e-13
1600.0,206.6374207,6152.049805,1.0620000000000887e-19,1.2344399910261238e-15,1.0886399920860304e-13,1.19e-05,0.0334,0.00146,0.0,0.0,5.289592752359908e-25,0.0,0.7500000000001328,8.099999878619459e-06,1.128210601166846e-14,1.2344400032857857e-15,0.0,9.881654558743179e-14
1800.0,206.6374207,6152.049805,5.0850000000001267e-20,5.044679988921113e-16,3.275639992806194e-14,1.19e-05,0.0334,0.00146,0.0,0.0,2.16165249384723e-25,0.0,0.7500000000000396,8.099999963330794e-06,3.4083413529399957e-15,5.044680002547922e-16,0.0,2.9852628273797894e-14
2000.0,206.6374207,6152.049805,1.1925000000000008e-21,4.286519999655207e-17,1.2149999999022698e-15,1.19e-05,0.0334,0.00146,0.0,0.0,3.6735597454581035e-26,0.0,0.7500000000000013,8.099999998675354e-06,6.678387582192977e-17,4.286519996952718e-17,0.0,1.191083709040156e-15
2200.0,206.6374207,6152.049805,1.4670000000000008e-23,1.9439999999039317e-17,7.289999999639743e-16,1.19e-05,0.0334,0.00146,0.0,0.0,8.330067450532091e-27,0.0,0.7500000000000008,8.099999999174872e-06,7.669467053261796e-17,1.9439999992078316e-17,0.0,6.717453587620658e-16
